GOPrimaryKey,CouncilDistrict,GOHighestOffenseDesc,HighestNIBRS,GOReportDate,GOLocation,ClearanceStatus,ClearanceDate,GODistrict,GOLocationZip,GOCensusTract,GOXCoordinate,GOYCoordinate,RIN,PrimaryKey,DateOccurred,TimeOccurred,Location,AreaCommand,NatureOfContact,ReasonDesc,R2RLevel,MasterSubjectID,SubjectSex,SubjectRace,SubjectEthnicity,SubjectConductDesc,SubjectResistance,WeaponUsed1,WeaponUsed2,WeaponUsed3,WeaponUsed4,WeaponUsed5,NumberShots,SubjectEffects,EffectonOfficer,OfficerOrganizationDesc,OfficerCommissionDate,OfficerYrsofService,XCoordinate,YCoordinate,CouncilDistrict
201580171,8,"BURGLARY OF RESIDENCE         ",Burglary,8-Jan-15,"7908 CROFTWOOD DR                                                                                   ",C,4-Feb-15,D,78749,17.76,3083914,10047259,154804,201580171,"01/08/2015 12:00:00 AM",322,"7908 CROFTWOOD DR",DA,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",2,"318905459: 201580171",M,W,N,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","EMPTY HAND DEFENSIVE RESISTANCE","CANINE - BITE","","","","","","MINOR INJURY","NO COMPLAINT OF INJURY/PAIN","K9 PATROL SPECIAL OPS","11/17/1989 12:00:00 AM",25,3083914,10047259,8
201580171,8,"BURGLARY OF RESIDENCE         ",Burglary,8-Jan-15,"7908 CROFTWOOD DR                                                                                   ",C,4-Feb-15,D,78749,17.76,3083914,10047259,154842,201580171,"01/08/2015 12:00:00 AM",322,"7908 CROFTWOOD DR",DA,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"318899180: 201580171",M,W,N,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","EMPTY HAND DEFENSIVE RESISTANCE","CED - PRONGS MISSED-ENTER # SHOTS","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","",1,"NO COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","FRANK 700 REG IV PATROL","03/22/2013 12:00:00 AM",2,3083914,10047259,8
2015100025,4,"THEFT BY SHOPLIFTING          ",Theft,10-Jan-15,"1030 NORWOOD PARK BLVD                                                                              ","","",I,78753,18.13,3129997,10096983,155056,2015100025,"01/10/2015 12:00:00 AM"," ","1030 NORWOOD PARK BLVD",ID,OTHER,"NECESSARY TO EFFECT ARREST / DETENTION",3,"314641549: 2015100025",M,B,N,"","VERBAL RESISTANCE/AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","NO COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","ADAM 700 REG II PATROL","03/22/2013 12:00:00 AM",2,3129997,10096983,4
2015110225,5,"BURGLARY OF VEHICLE           ",Theft,11-Jan-15,"1815 MARGARET ST                                                                                    ",C,13-Jan-15,D,78704,13.03,3106196,10066779,154865,2015110225,"01/11/2015 12:00:00 AM",247,"1815 MARGARET ST",DA,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"10748457: 2015110225",M,W,H,"","EMPTY HAND ACTIVE AGGRESSION","CED - PRONGS MISSED-ENTER # SHOTS","CED - DRIVE STUN-ENTER # SHOTS","","","",2,"COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","DAVID 800 REG IV PATROL","10/07/2011 12:00:00 AM",3,3106196,10066779,5
2015110225,5,"BURGLARY OF VEHICLE           ",Theft,11-Jan-15,"1815 MARGARET ST                                                                                    ",C,13-Jan-15,D,78704,13.03,3106196,10066779,154880,2015110225,"01/11/2015 12:00:00 AM",300,"1815 MARGARET ST",DA,"DISPATCHED CALL","NECESSARY TO DEFEND ANOTHER",2,"10748457: 2015110225",M,W,H,"","EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","MINOR INJURY","COMPLAINT OF INJURY/PAIN","DAVID 800 REG IV PATROL","10/07/2011 12:00:00 AM",3,3106196,10066779,5
2015110225,5,"BURGLARY OF VEHICLE           ",Theft,11-Jan-15,"1815 MARGARET ST                                                                                    ",C,13-Jan-15,D,78704,13.03,3106196,10066779,154899,2015110225,"01/11/2015 12:00:00 AM",848,"1815 MARGARET ST",DA,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",2,"10748457: 2015110225",M,W,H,"","EMPTY HAND ACTIVE AGGRESSION; EMPTY HAND DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","MINOR INJURY","NO COMPLAINT OF INJURY/PAIN","DAVID 800 REG IV PATROL","05/06/2013 12:00:00 AM",2,3106196,10066779,5
2015141501,3,"AGG ROBBERY/DEADLY WEAPON     ",Robbery,14-Jan-15,"500 BASTROP HWY SB                                                                                  ",N,20-Jan-15,H,78741,23.12,3131957,10059810,156802,2015141501,"01/14/2015 12:00:00 AM",1900,"500 BASTROP HWY SB",HE,"WARRANT SERVICE","NECESSARY TO EFFECT ARREST / DETENTION",2,"458993582: 2015141501",M,W,H,"","EMPTY HAND DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","CANINE - BITE","","","","","MINOR INJURY","NO COMPLAINT OF INJURY/PAIN","K9 PATROL SPECIAL OPS","10/23/1998 12:00:00 AM",16,3131957,10059810,3
2015170395,7,"AGG ROBBERY/DEADLY WEAPON     ",Robbery,17-Jan-15,"12166 METRIC BLVD                                                                                   ",C,17-Jan-15,A,78758,18.5,3127301,10121525,155013,2015170395,"01/17/2015 12:00:00 AM",525,"12166 METRIC BLVD",AD,"DISPATCHED CALL","TO PREVENT A VIOLENT FELONY",2,"84935596: 2015170395",M,W,H,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","VERBAL RESISTANCE/AGGRESSION","CED - PRONGS-ENTER # SHOTS","","","","",1,"MINOR INJURY","NO COMPLAINT OF INJURY/PAIN","ADAM 800 REG II PATROL","07/17/1998 12:00:00 AM",17,3127301,10121525,7
2015161823,4,"AGG ASSAULT FAM/DATE VIOLENCE ","Agg Assault",17-Jan-15,"1647 RUTLAND DR                                                                                     ",C,17-Jan-15,E,78758,18.2,3122928,10109415,155045,2015161823,"01/16/2015 12:00:00 AM",2115,"1647 RUTLAND DR",ED,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"459045342: 2015161823",M,W,H,"","EMPTY HAND DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","NO COMPLAINT OF INJURY/PAIN","MINOR INJURY","EDWARD 400 REG II PATROL","11/30/2012 12:00:00 AM",2,3122928,10109415,4
2015161823,4,"AGG ASSAULT FAM/DATE VIOLENCE ","Agg Assault",17-Jan-15,"1647 RUTLAND DR                                                                                     ",C,17-Jan-15,E,78758,18.2,3122928,10109415,155046,2015161823,"01/16/2015 12:00:00 AM",2340,"1647 RUTLAND DR",ED,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"459045342: 2015161823",M,W,H,"","EMPTY HAND DEFENSIVE RESISTANCE","CED - DRIVE STUN-ENTER # SHOTS","","","","",3,"COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED","NO COMPLAINT OF INJURY/PAIN","EDWARD 700 REG II PATROL","03/22/2013 12:00:00 AM",2,3122928,10109415,4
2015161823,4,"AGG ASSAULT FAM/DATE VIOLENCE ","Agg Assault",17-Jan-15,"1647 RUTLAND DR                                                                                     ",C,17-Jan-15,E,78758,18.2,3122928,10109415,155261,2015161823,"01/16/2015 12:00:00 AM"," ","1647 RUTLAND DR",ED,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"459045342: 2015161823",M,W,H,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","EMPTY HAND DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","NO COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","EDWARD 700 REG II PATROL","05/30/2014 12:00:00 AM",1,3122928,10109415,4
2015190045,4,"AGG ASSAULT FAM/DATE VIOLENCE ","Agg Assault",19-Jan-15,"1735 RUTLAND DR                                                                                     ",C,21-Jan-15,E,78758,18.2,3123464,10110594,155244,2015190045,"01/19/2015 12:00:00 AM",430,"1735 RUTLAND DR",ED,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"345047453: 2015190045",M,B,N,"EDP/MENTALLY UNSTABLE","EMPTY HAND ACTIVE AGGRESSION","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","MINOR INJURY","NO COMPLAINT OF INJURY/PAIN","EDWARD 800 REG II PATROL","05/30/2014 12:00:00 AM",1,3123464,10110594,4
2015231439,3,"AGG ROBBERY/DEADLY WEAPON     ",Robbery,23-Jan-15,"3600 S CONGRESS AVE                                                                                 ",C,30-Apr-15,D,78704,13.08,3108711,10056045,156109,2015231439,"01/23/2015 12:00:00 AM",2230,"3600 S CONGRESS AVE",DA,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",2,"216140531: 2015231439",M,W,H,"SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS","EMPTY HAND DEFENSIVE RESISTANCE","CANINE - BITE","","","","","","MINOR INJURY","NO COMPLAINT OF INJURY/PAIN","K9 PATROL SPECIAL OPS","01/04/2008 12:00:00 AM",7,3108711,10056045,3
2015291705,1,"BURGLARY OF VEHICLE           ",Theft,29-Jan-15,"2209 ROSEWOOD AVE                                                                                   ",C,9-Feb-15,C,78702,8.04,3122801,10071625,155804,2015291705,"01/29/2015 12:00:00 AM",2127,"2209 ROSEWOOD AVE",CH,"DISPATCHED CALL","NECESSARY TO DEFEND REPORTING OFFICER",2,"165062740: 2015291705",M,W,H,"",OTHER,"CED - PRONGS-ENTER # SHOTS","","","","",1,"COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","CHARLIE 400 REG III PATROL","10/07/2011 12:00:00 AM",3,3122801,10071625,1
2015300554,2,"BURGLARY OF RESIDENCE         ",Burglary,30-Jan-15,"4609 TERI RD                                                                                        ",N,15-Apr-15,F,78744,24.13,3114812,10044594,155542,2015300554,"01/30/2015 12:00:00 AM",938,"4609 TERI RD",FR,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",3,"5044938: 2015300554",M,W,H,"","EMPTY HAND DEFENSIVE RESISTANCE","CED - PRONGS MISSED-ENTER # SHOTS","","","","",1,"NO COMPLAINT OF INJURY/PAIN","NO COMPLAINT OF INJURY/PAIN","FRANK 100 REG IV PATROL","09/24/1999 12:00:00 AM",15,3114812,10044594,2
2015341411,3,"THEFT BY SHOPLIFTING          ",Theft,3-Feb-15,"2508 E RIVERSIDE DR                                                                                 ",C,4-Feb-15,H,78741,23.04,3120959,10059177,155719,2015341411,"02/03/2015 12:00:00 AM",2054,"2508 E RIVERSIDE DR",HE,"VIEWED OFFENSE","NECESSARY TO EFFECT ARREST / DETENTION",2,"9438042: 2015341411",M,W,N,"","EMPTY HAND DEFENSIVE RESISTANCE","WEAPONLESS (PRESSURE POINTS/KICKS/HAND)","","","","","","MINOR INJURY","MINOR INJURY","ADAM 100 REG II PATROL","06/27/2003 12:00:00 AM",12,3120959,10059177,3
20151260176,3,"RAPE                          ",Rape,6-May-15,"",C,7-May-15,H,78741,23.12,"","",159961,20151260176,"05/06/2015 12:00:00 AM",759,"2212 THRASHER LN",HE,"DISPATCHED CALL","NECESSARY TO EFFECT ARREST / DETENTION",2,"99617578: 20151260176",M,W,N,"","EMPTY HAND DEFENSIVE RESISTANCE","CED - PRONGS MISSED-ENTER # SHOTS","CED - PRONGS-ENTER # SHOTS","","","",3,"COMPLAINT OF INJURY/PAIN","MINOR INJURY","HENRY 200 REG III PATROL","04/23/2010 12:00:00 AM",5,3127457,10053856,3
